Unique.ID,Address_in,Address_out,Owner.Or.Facility,Land.Assessment,Building.Assessment,ID,Match,Coords,FIPS,Park,Parking_lot
223 0382 00171,"00055 WHITNEY AV 4, New Haven, CT","56 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2138080,77,No_Match,-72.92213 Y: 41.311887,09009142001,,
223 0382 00172,"00055 WHITNEY AV 5, New Haven, CT","57 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2429210,78,No_Match,-72.92213 Y: 41.311888,9009142002,,
223 0382 00173,"00055 WHITNEY AV 6, New Haven, CT","58 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,2431870,79,No_Match,-72.92213 Y: 41.311889,09009142003,,
223 0382 00174,"00055 WHITNEY AV 7, New Haven, CT","59 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,0,1572620,80,No_Match,-72.92213 Y: 41.311890,09009142004,,
223 0334 01603,"00058 WHITNEY AV, New Haven, CT","60 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,194390,415660,81,No_Match,-72.92212 Y: 41.311943,09009142000,,
261 0252 00200,"00061 HIGH ST, New Haven, CT","1 HIGH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,2301740,20275780,83,Tie,-72.9290981 Y:41.3088844,09009361401,,
377 1079 00200,"00067 CENTRAL AV, New Haven, CT","67 CENTRAL AVE, NEW HAVEN, CT, 06515",YALE UNIVERSITY,722540,4758530,85,Tie,-72.96366 Y: 41.311108,09009141000,,
223 0334 01602,"00068 WHITNEY AV, New Haven, CT","68 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,106890,106260,88,No_Match,-72.92211 Y: 41.31197,09009142000,,
264 0103 00100,"00100 CHURCH ST SOUTH, New Haven, CT","100 CHURCH ST, NEW HAVEN, CT, 06510",YALE UNIVERSITY,2089360,6688640,110,Tie,-72.926 Y: 41.305725,09009140101,,
264 0121 00403,"00104 WASHINGTON AV, New Haven, CT","104 WASHINGTON AVE, NEW HAVEN, CT, 06519",AMISTAD PARTNERS LLC,51310,0,112,Tie,-72.93217 Y: 41.301437,09009140300,1,
260 0288 00104,"00115 HIGH ST, New Haven, CT","115 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,2352350,26753720,116,Tie,-72.92856 Y: 41.31039,09009361402,,
260 0287 00101,"00120 HIGH ST, New Haven, CT","120 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,1013390,97970320,117,Tie,-72.92853 Y: 41.310463,09009361402,,
260 0308 00100,"00140 HIGH ST, New Haven, CT","140 HIGH ST, NEW HAVEN, CT, 06511",YALE UNIVERSITY,1728230,56792890,125,Tie,-72.92837 Y: 41.31068,09009361402,,
277 0114 00100,"00156 WASHINGTON AV, New Haven, CT","156 WASHINGTON AVE, NEW HAVEN, CT, 06519",BETA 14 LLC,36540,0,133,Tie,-72.9328 Y: 41.3009,09009140300,,1
244 0365 00900,"00158 WHITNEY AV, New Haven, CT","158 WHITNEY AVE, NEW HAVEN, CT, 06510",YALE UNIVERSITY,263830,10964590,134,No_Match,-72.92097 Y: 41.315224,09009361402,,
377 1079 00100,"00165 CENTRAL AV, New Haven, CT","165 CENTRAL AVE, NEW HAVEN, CT, 06515",YALE UNIVERSITY,1818880,3489080,136,Tie,-72.96391 Y: 41.313652,09009141000,,
