ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
304,"00200 ORCHARD ST 104, New Haven, CT",No_Match,,,,,,,,,
305,"00200 ORCHARD ST 105, New Haven, CT",No_Match,,,,,,,,,
306,"00200 ORCHARD ST 106, New Haven, CT",No_Match,,,,,,,,,
307,"00200 ORCHARD ST 107, New Haven, CT",No_Match,,,,,,,,,
308,"00200 ORCHARD ST 201, New Haven, CT",No_Match,,,,,,,,,
309,"00200 ORCHARD ST 202, New Haven, CT",No_Match,,,,,,,,,
310,"00200 ORCHARD ST 203, New Haven, CT",No_Match,,,,,,,,,
311,"00200 ORCHARD ST 204, New Haven, CT",No_Match,,,,,,,,,
312,"00200 ORCHARD ST 205, New Haven, CT",No_Match,,,,,,,,,
313,"00200 ORCHARD ST 206, New Haven, CT",No_Match,,,,,,,,,
314,"00200 ORCHARD ST 207, New Haven, CT",No_Match,,,,,,,,,
315,"00200 ORCHARD ST 303, New Haven, CT",No_Match,,,,,,,,,
316,"00200 ORCHARD ST 304, New Haven, CT",No_Match,,,,,,,,,
317,"00200 ORCHARD ST 306, New Haven, CT",No_Match,,,,,,,,,
318,"00200 ORCHARD ST 310, New Haven, CT",No_Match,,,,,,,,,
319,"00200 ORCHARD ST 401, New Haven, CT",No_Match,,,,,,,,,
320,"00200 ORCHARD ST 403, New Haven, CT",No_Match,,,,,,,,,
321,"00200 ORCHARD ST 404, New Haven, CT",No_Match,,,,,,,,,
322,"00200 ORCHARD ST 405, New Haven, CT",No_Match,,,,,,,,,
323,"00200 ORCHARD ST 406, New Haven, CT",No_Match,,,,,,,,,
324,"00200 ORCHARD ST 407, New Haven, CT",No_Match,,,,,,,,,
325,"00200 ORCHARD ST 408, New Haven, CT",No_Match,,,,,,,,,
330,"00318 OAK ST, New Haven, CT",No_Match,,,,,,,,,
350,"01342 CHAPEL ST, New Haven, CT",Tie,,,,,,,,,
