ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
59,"00034 HILLHOUSE AV, New Haven, CT",Match,Exact,"34 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92344,41.313908",3701169,L,9,9,361402,1003
60,"00035 COLLEGE ST, New Haven, CT",Match,Exact,"35 COLLEGE ST, NEW HAVEN, CT, 06510","-72.932106,41.302696",3701238,R,9,9,140300,2011
61,"00037 HILLHOUSE AV, New Haven, CT",Match,Exact,"37 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92335,41.314095",3701169,R,9,9,361402,1002
62,"00038 HILLHOUSE AV, New Haven, CT",Match,Exact,"38 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92339,41.31402",3701169,L,9,9,361402,1003
63,"00039 PRINCE ST, New Haven, CT",Match,Exact,"39 PRINCE ST, NEW HAVEN, CT, 06519","-72.930435,41.30158",3744444,L,9,9,140300,2017
64,"00040 CENTRAL AV, New Haven, CT",Tie,,,,,,,,,
65,"00040 DIXWELL AV, New Haven, CT",Match,Exact,"40 DIXWELL AVE, NEW HAVEN, CT, 06511","-72.932625,41.314404",3701067,L,9,9,141600,3010
66,"00040 GILBERT ST, New Haven, CT",Match,Exact,"40 GILBERT ST, NEW HAVEN, CT, 06519","-72.93397,41.300972",3701250,L,9,9,140300,2022
67,"00043 HILLHOUSE AV, New Haven, CT",Match,Exact,"43 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92329,41.314243",3701169,R,9,9,361402,1002
68,"00046 HILLHOUSE AV, New Haven, CT",Match,Exact,"46 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.9233,41.314236",3701169,L,9,9,361402,1003
69,"00047 HILLHOUSE AV, New Haven, CT",Match,Exact,"47 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92324,41.314346",3701169,R,9,9,361402,1002
70,"00049 GOFFE ST, New Haven, CT",Match,Exact,"49 GOFFE ST, NEW HAVEN, CT, 06511","-72.93346,41.314182",3700394,R,9,9,141600,3010
71,"00050 ASHMUN ST, New Haven, CT",Match,Exact,"50 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928635,41.314236",3701102,L,9,9,361402,1009
72,"00050 DIVISION ST, New Haven, CT",Match,Exact,"50 DIVISION ST, NEW HAVEN, CT, 06511","-72.92454,41.325016",3699818,L,9,9,141800,3004
73,"00050 TOWER PKWY, New Haven, CT",Match,Exact,"50 TOWER PKWY, NEW HAVEN, CT, 06511","-72.93151,41.313103",3701082,L,9,9,361402,1007
74,"00051 HILLHOUSE AV, New Haven, CT",Match,Exact,"51 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.9232,41.314445",3701169,R,9,9,361402,1002
75,"00055 HILLHOUSE AV, New Haven, CT",Match,Exact,"55 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92316,41.314545",3701169,R,9,9,361402,1002
76,"00055 WHITNEY AV 3, New Haven, CT",No_Match,,,,,,,,,
77,"00055 WHITNEY AV 4, New Haven, CT",No_Match,,,,,,,,,
78,"00055 WHITNEY AV 5, New Haven, CT",No_Match,,,,,,,,,
79,"00055 WHITNEY AV 6, New Haven, CT",No_Match,,,,,,,,,
80,"00055 WHITNEY AV 7, New Haven, CT",No_Match,,,,,,,,,
81,"00058 WHITNEY AV, New Haven, CT",No_Match,,,,,,,,,
82,"00060 ASHMUN ST, New Haven, CT",Match,Exact,"60 ASHMUN ST, NEW HAVEN, CT, 06511","-72.9287,41.31454",3701098,L,9,9,361402,1007
83,"00061 HIGH ST, New Haven, CT",Tie,,,,,,,,,
84,"00064 ASHMUN ST, New Haven, CT",Match,Exact,"64 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92872,41.314606",3701098,L,9,9,361402,1007
85,"00067 CENTRAL AV, New Haven, CT",Tie,,,,,,,,,
86,"00068 ASHMUN ST, New Haven, CT",Match,Exact,"68 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92874,41.314667",3701098,L,9,9,361402,1007
87,"00068 MANSFIELD ST, New Haven, CT",Match,Exact,"68 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.92577,41.31701",637983857,L,9,9,141600,1004
88,"00068 WHITNEY AV, New Haven, CT",No_Match,,,,,,,,,
89,"00069 GOFFE ST, New Haven, CT",Match,Exact,"69 GOFFE ST, NEW HAVEN, CT, 06511","-72.93377,41.314514",3700394,R,9,9,141600,3010
90,"00070 SACHEM ST, New Haven, CT",Match,Exact,"70 SACHEM ST, NEW HAVEN, CT, 06511","-72.92206,41.315704",3701170,L,9,9,361402,1002
91,"00070 YORK SQUARE PL, New Haven, CT",Match,Exact,"70 YORK SQ, NEW HAVEN, CT, 06511","-72.9294,41.31414",637983901,L,9,9,361402,1007
92,"00074 ASHMUN ST, New Haven, CT",Match,Exact,"74 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928764,41.314766",3701098,L,9,9,361402,1007
93,"00074 WALL ST, New Haven, CT",Match,Exact,"74 WALL ST, NEW HAVEN, CT, 06511","-72.9242,41.309853",3701191,L,9,9,361402,2007
94,"00076 WALL ST, New Haven, CT",Match,Exact,"76 WALL ST, NEW HAVEN, CT, 06511","-72.924286,41.30989",3701191,L,9,9,361402,2007
95,"00078 ASHMUN ST, New Haven, CT",Match,Exact,"78 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92878,41.314827",3701098,L,9,9,361402,1007
96,"00078 WALL ST, New Haven, CT",Match,Exact,"78 WALL ST, NEW HAVEN, CT, 06511","-72.92438,41.30993",3701191,L,9,9,361402,2007
97,"00080 WALL ST, New Haven, CT",Match,Exact,"80 WALL ST, NEW HAVEN, CT, 06511","-72.92461,41.310028",3701183,L,9,9,361402,2006
98,"00082 WALL ST, New Haven, CT",Match,Exact,"82 WALL ST, NEW HAVEN, CT, 06511","-72.92467,41.310055",3701183,L,9,9,361402,2006
99,"00085 TRUMBULL ST, New Haven, CT",Match,Exact,"85 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92369,41.313587",3701167,R,9,9,361402,1003
100,"00086 WALL ST, New Haven, CT",Match,Exact,"86 WALL ST, NEW HAVEN, CT, 06511","-72.9248,41.310112",3701183,L,9,9,361402,2006
101,"00087 GOFFE ST, New Haven, CT",Match,Exact,"87 GOFFE ST, NEW HAVEN, CT, 06511","-72.93407,41.314808",3700394,R,9,9,141600,3010
102,"00087 TRUMBULL ST, New Haven, CT",Match,Exact,"87 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92386,41.313618",3701167,R,9,9,361402,1003
103,"00088 TRUMBULL ST, New Haven, CT",Match,Exact,"88 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.922646,41.31332",3701172,L,9,9,361402,1013
104,"00089 GOFFE ST, New Haven, CT",Match,Exact,"89 GOFFE ST, NEW HAVEN, CT, 06511","-72.9341,41.31484",3700394,R,9,9,141600,3010
105,"00089 TRUMBULL ST, New Haven, CT",Match,Exact,"89 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.924034,41.313652",3701167,R,9,9,361402,1003
106,"00090 WALL ST, New Haven, CT",Match,Exact,"90 WALL ST, NEW HAVEN, CT, 06511","-72.92493,41.310165",3701183,L,9,9,361402,2006
107,"00091 TRUMBULL ST, New Haven, CT",Match,Exact,"91 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92421,41.313683",3701167,R,9,9,361402,1003
108,"00096 ASHMUN ST, New Haven, CT",Match,Exact,"96 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928856,41.315117",3701098,L,9,9,361402,1007
109,"00100 ASHMUN ST, New Haven, CT",Match,Exact,"100 ASHMUN ST, NEW HAVEN, CT, 06511","-72.929,41.315685",3701089,L,9,9,141600,4014
110,"00100 CHURCH ST SOUTH, New Haven, CT",Tie,,,,,,,,,
111,"00101 ASHMUN ST, New Haven, CT",Match,Exact,"101 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92903,41.315853",3701089,R,9,9,141600,4012
112,"00104 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
113,"00109 WALL ST, New Haven, CT",Match,Exact,"109 WALL ST, NEW HAVEN, CT, 06511","-72.92678,41.310986",3701136,R,9,9,361402,2002
114,"00110 WALL ST, New Haven, CT",Match,Exact,"110 WALL ST, NEW HAVEN, CT, 06511","-72.92556,41.310444",3701183,L,9,9,361402,2006
115,"00111 GROVE ST, New Haven, CT",Match,Exact,"111 GROVE ST, NEW HAVEN, CT, 06510","-72.923195,41.310722",3701201,R,9,9,142000,3008
116,"00115 HIGH ST, New Haven, CT",Tie,,,,,,,,,
117,"00120 HIGH ST, New Haven, CT",Tie,,,,,,,,,
118,"00121 HIGH ST, New Haven, CT",Match,Exact,"121 HIGH ST, NEW HAVEN, CT, 06511","-72.92851,41.310455",3701135,R,9,9,361402,2005
119,"00121 WALL ST, New Haven, CT",Match,Exact,"121 WALL ST, NEW HAVEN, CT, 06511","-72.92757,41.311314",3701136,R,9,9,361402,2002
120,"00123 COLLEGE ST, New Haven, CT",Match,Exact,"123 COLLEGE ST, NEW HAVEN, CT, 06510","-72.93067,41.304573",3701264,R,9,9,140100,1022
121,"00131 GROVE ST, New Haven, CT",Match,Exact,"131 GROVE ST, NEW HAVEN, CT, 06511","-72.922806,41.310562",3701201,R,9,9,142000,3008
122,"00134 DAVENPORT AV, New Haven, CT",Match,Exact,"134 DAVENPORT AVE, NEW HAVEN, CT, 06519","-72.93763,41.30276",3700528,L,9,9,140600,2001
