Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
244 0364 00800,PABX,00028 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.34,208390,1385090,1593480,1593480
260 0307 01201,PABX,00029 BROADWAY,YALE UNIVERSITY,,0/0,0.62,368060,1283030,1651090,1651090
244 0364 00700,PABX,00030 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.56,218330,2081240,2299570,2299570
244 0365 00200,PABX,00031 HILLHOUSE AV,YALE UNIVERSITY,,5646/115,1.01,158900,852180,1011080,1011080
280 0249 02702,PABX,00032 EDGEWOOD AV,YALE UNIVERSITY,,0/0,1.69,1439830,28323960,29763790,29763790
244 0364 00600,PABX,00034 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.77,376460,5558980,5935440,5935440
263 0137 00100,PABX,00035 COLLEGE ST,YALE UNIVERSITY,,4928/226,1.94,1143030,3195500,4338530,4338530
244 0365 00400,PABX,00037 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.35,139090,663250,802340,802340
244 0364 00500,PABX,00038 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.78,188650,25117260,25305910,25305910
264 0120 00900,PABX,00039 PRINCE ST,YALE UNIVERSITY,,8314/77,0.24,34860,0,34860,34860
377 1080 00500,PABX,00040 CENTRAL AV,YALE UNIVERSITY,,0/0,6,799470,1734460,2533930,2533930
296 0328 01900,PABX,00040 DIXWELL AV,YALE UNIVERSITY,,8314/220,0.33,208250,0,208250,208250
277 0123 01700,PABX,00040 GILBERT ST,YALE UNIVERSITY,,4456/296,0.1,92540,6720,99260,99260
244 0365 00500,PABX,00043 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.38,210490,2827440,3037930,3037930
244 0364 00400,PABX,00046 HILLHOUSE AV,YALE UNIVERSITY,,3032/146,1.82,349440,1255870,1605310,1605310
244 0365 00600,PABX,00047 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.37,209720,0,209720,209720
296 0328 02200,PABX,00049 GOFFE ST,YALE UNIVERSITY,,8608/74,0.32,65590,0,65590,65590
281 0329 00300,PABX,00050 ASHMUN ST,YALE UNIVERSITY,,0/0,0.65,777140,75810,852950,852950
256 0393 00300,PABX,00050 DIVISION ST,YALE UNIVERSITY,,9764/201,2.9,533960,2931390,3465350,3465350
259 0330 00100,PABX,00050 TOWER PKWY,YALE UNIVERSITY,,0/0,2,1571150,15928570,17499720,17499720
244 0365 00700,PABX,00051 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.39,140560,2255960,2396520,2396520
244 0365 00800,PABX,00055 HILLHOUSE AV,YALE UNIVERSITY,,0/0,0.63,220500,1819160,2039660,2039660
223 0382 00170,PABX,00055 WHITNEY AV 3,YALE UNIVERSITY,,6170/170,0,0,1106280,1106280,1106280
223 0382 00171,PABX,00055 WHITNEY AV 4,YALE UNIVERSITY,,6170/170,0,0,2138080,2138080,2138080
223 0382 00172,PABX,00055 WHITNEY AV 5,YALE UNIVERSITY,,6170/170,0,0,2429210,2429210,2429210
223 0382 00173,PABX,00055 WHITNEY AV 6,YALE UNIVERSITY,,6170/170,0,0,2431870,2431870,2431870
