"17265","348 MCKINLEY AV, New Haven, CT, ","Match","Exact","348 MCKINLEY AVE, NEW HAVEN, CT, 06515","-72.964226,41.325573","3697368","L","09","009","141000","1002"
"18596","119 FREDERICK ST #2L, New Haven, CT, ","Match","Exact","119 FREDERICK ST, NEW HAVEN, CT, 06515","-72.9795,41.333923","3697079","R","09","009","141200","4003"
"18590","117 FREDERICK ST #2R, New Haven, CT, ","Match","Exact","117 FREDERICK ST, NEW HAVEN, CT, 06515","-72.97949,41.33391","3697079","R","09","009","141200","4003"
"17260","374 MCKINLEY AV, New Haven, CT, ","Match","Exact","374 MCKINLEY AVE, NEW HAVEN, CT, 06515","-72.963974,41.32609","3697368","L","09","009","141000","1002"
"18591","117 FREDERICK ST #2L, New Haven, CT, ","Match","Exact","117 FREDERICK ST, NEW HAVEN, CT, 06515","-72.97949,41.33391","3697079","R","09","009","141200","4003"
"17261","370 MCKINLEY AV, New Haven, CT, ","Match","Exact","370 MCKINLEY AVE, NEW HAVEN, CT, 06515","-72.96401,41.32601","3697368","L","09","009","141000","1002"
"18592","119 FREDERICK ST #1R, New Haven, CT, ","Match","Exact","119 FREDERICK ST, NEW HAVEN, CT, 06515","-72.9795,41.333923","3697079","R","09","009","141200","4003"
"17277","1041 FOREST RD, New Haven, CT, ","Match","Exact","1041 FOREST RD, NEW HAVEN, CT, 06515","-72.97002,41.320606","613826238","R","09","009","141000","3007"
"17278","5 WOODSIDE TER, New Haven, CT, ","Match","Exact","5 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.96955,41.32104","3697338","R","09","009","141000","3007"
"17279","25 WOODSIDE TER, New Haven, CT, ","Match","Exact","25 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.969536,41.321156","3697338","R","09","009","141000","3007"
"17273","64 WOODSIDE TER, New Haven, CT, ","Match","Exact","64 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.96951,41.32138","3697338","L","09","009","141000","3007"
"17274","80 WOODSIDE TER, New Haven, CT, ","Match","Exact","80 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.9695,41.321476","3697338","L","09","009","141000","3007"
"17275","1015 TOWNSEND AV, New Haven, CT, ","Match","Exact","1015 TOWNSEND AVE, NEW HAVEN, CT, 06512","-72.893814,41.283665","647240816","R","09","009","142700","2011"
