Unique ID,Street address,City,State,ZIP
138,92 WEST PROSPECT ST,New Haven,CT,NA
139,830 ORANGE ST,New Haven,CT,NA
140,PARKER PL,New Haven,CT,NA
141,826 ORANGE ST,New Haven,CT,NA
142,JAMES ST,New Haven,CT,NA
143,820 ORANGE ST,New Haven,CT,NA
144,816 ORANGE ST,New Haven,CT,NA
145,324 LEXINGTON AV,New Haven,CT,NA
146,332 LEXINGTON AV,New Haven,CT,NA
147,812 ORANGE ST,New Haven,CT,NA
148,806 ORANGE ST,New Haven,CT,NA
149,588 TOWNSEND AV,New Haven,CT,NA
150,594 TOWNSEND AV,New Haven,CT,NA
151,164 FORT HALE RD,New Haven,CT,NA
152,144 FORT HALE RD,New Haven,CT,NA
153,800 ORANGE ST,New Haven,CT,NA
154,794 ORANGE ST,New Haven,CT,NA
155,365 CONCORD ST,New Haven,CT,NA
156,243 WILLOW ST,New Haven,CT,NA
157,249 WILLOW ST,New Haven,CT,NA
158,55 WHITNEY AV #1,New Haven,CT,NA
159,55 WHITNEY AV #2,New Haven,CT,NA
160,55 WHITNEY AV #3,New Haven,CT,NA
161,55 WHITNEY AV #4,New Haven,CT,NA
162,55 WHITNEY AV #5,New Haven,CT,NA
163,55 WHITNEY AV #6,New Haven,CT,NA
164,55 WHITNEY AV #7,New Haven,CT,NA
165,253 WILLOW ST,New Haven,CT,NA
166,18 PARKER PL,New Haven,CT,NA
167,257 WILLOW ST,New Haven,CT,NA
168,114 BRISTOL ST,New Haven,CT,NA
169,114 BRISTOL ST,New Haven,CT,NA
170,261 WILLOW ST,New Haven,CT,NA
171,265 WILLOW ST,New Haven,CT,NA
172,DEWITT ST,New Haven,CT,NA
173,273 WILLOW ST,New Haven,CT,NA
174,277 WILLOW ST,New Haven,CT,NA
175,279 WILLOW ST,New Haven,CT,NA
176,281 WILLOW ST,New Haven,CT,NA
177,285 WILLOW ST,New Haven,CT,NA
178,289 WILLOW ST,New Haven,CT,NA
179,1 RUSSO TER,New Haven,CT,NA
180,3 RUSSO TER,New Haven,CT,NA
181,5 RUSSO TER,New Haven,CT,NA
182,7 RUSSO TER,New Haven,CT,NA
183,12 RUSSO TER,New Haven,CT,NA
184,10 RUSSO TER,New Haven,CT,NA
185,8 RUSSO TER,New Haven,CT,NA
186,6 RUSSO TER,New Haven,CT,NA
187,4 RUSSO TER,New Haven,CT,NA
188,2 RUSSO TER,New Haven,CT,NA
189,215 HYDE ST,New Haven,CT,NA
190,207 TOWNSEND AV,New Haven,CT,NA
191,37 GREENWOOD ST,New Haven,CT,NA
192,151 LIVINGSTON ST,New Haven,CT,NA
193,153 LIVINGSTON ST,New Haven,CT,NA
194,192 FITCH ST,New Haven,CT,NA
195,163 LIVINGSTON ST,New Haven,CT,NA
196,829 ORANGE ST,New Haven,CT,NA
197,341 CROWN ST,New Haven,CT,NA
198,72 CANNER ST,New Haven,CT,NA
199,68 CANNER ST,New Haven,CT,NA
200,64 CANNER ST,New Haven,CT,NA
201,60 CANNER ST,New Haven,CT,NA
202,277 CHAPEL ST,New Haven,CT,NA
203,56 CANNER ST,New Haven,CT,NA
204,211 TOWNSEND AV,New Haven,CT,NA
205,20 ANDERSON ST,New Haven,CT,NA
206,575 WASHINGTON AV,New Haven,CT,NA
207,18 ANDERSON ST,New Haven,CT,NA
208,16 ANDERSON ST,New Haven,CT,NA
209,JOHN W MURPHY DR,New Haven,CT,NA
210,14 ANDERSON ST,New Haven,CT,NA
211,189 WILLOW ST,New Haven,CT,NA
212,76 WHITE ST,New Haven,CT,NA
213,74 WHITE ST,New Haven,CT,NA
214,191 WILLOW ST,New Haven,CT,NA
215,193 WILLOW ST,New Haven,CT,NA
216,209 WILLOW ST,New Haven,CT,NA
217,213 WILLOW ST,New Haven,CT,NA
218,215 WILLOW ST,New Haven,CT,NA
219,215 TOWNSEND AV,New Haven,CT,NA
220,797 ORANGE ST,New Haven,CT,NA
