addr.housenumber,addr.street,addr.city,tot
5,Whitney Avenue,New Haven,1214010
50,Ashmun Street,New Haven,852950
50,Division Street,New Haven,3465350
50,Tower Pkwy,New Haven,17499720
500,College Street,New Haven,19939500
501,George Street,New Haven,1150310
509,College Street,New Haven,41772500
51,Hillhouse Avenue,New Haven,2396520
511,Prospect Street,New Haven,1525860
533,Prospect Street,New Haven,1158220
56,Whitney Avenue,New Haven,2138080
57,Whitney Avenue,New Haven,2429210
579,George Street,New Haven,47460
58,Whitney Avenue,New Haven,2431870
583,George Street,New Haven,37310
59,Whitney Avenue,New Haven,1572620
6,Whitney Avenue,New Haven,454790
60,Ashmun Street,New Haven,113400
60,Legion Avenue,New Haven,57400
60,Whitney Avenue,New Haven,610050
600,George Street,New Haven,32410
629,George Street,New Haven,7641340
64,Ashmun Street,New Haven,113540
646,George Street,New Haven,220150
655,Howard Avenue,New Haven,49980
659,Howard Avenue,New Haven,45080
663,Howard Avenue,New Haven,45010
67,Central Avenue,New Haven,5481070
68,Ashmun Street,New Haven,138810
68,Mansfield Street,New Haven,337960
68,Whitney Avenue,New Haven,213150
7,Whitney Avenue,New Haven,1424430
70,Sachem Street,New Haven,401890510
70,York Square,New Haven,60851280
700,Prospect Street,New Haven,25363030
74,Ashmun Street,New Haven,173250
74,Wall Street,New Haven,232610
746,Fountain Street,New Haven,325640
76,Wall Street,New Haven,196840
760,Howard Avenue,New Haven,34440
765,Prospect Street,New Haven,856870
78,Ashmun Street,New Haven,125580
78,Wall Street,New Haven,196840
780,Howard Avenue,New Haven,5772690
8,Park Street,New Haven,49700
8,Whitney Avenue,New Haven,1421560
80,Wall Street,New Haven,2065910
800,Howard Avenue,New Haven,14308280
810,Prospect Street,New Haven,648620
82,Wall Street,New Haven,1016610
836,Howard Avenue,New Haven,272930
840,Howard Avenue,New Haven,351960
842,Howard Avenue,New Haven,214970
85,Trumbull Street,New Haven,194460
86,Wall Street,New Haven,396270
860,Howard Avenue,New Haven,6104350
87,Trumbull Street,New Haven,549780
878,Howard Avenue,New Haven,878290
88,Trumbull Street,New Haven,202720
89,Goffe Street,New Haven,88270
89,Trumbull Street,New Haven,2777250
9,Tower Pkwy,New Haven,110041470
9,Whitney Avenue,New Haven,1162210
90,Wall Street,New Haven,235130
91,Trumbull Street,New Haven,2732170
912,Howard Avenue,New Haven,3177860
914,Howard Avenue,New Haven,97930
96,Ashmun Street,New Haven,20860
