"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"27","239 0119 00100","PABX","00002 CHURCH ST SOUTH","WE 2 CHURCH STREET SOUTH LLC",NA,"6602/74",2.96,657580,4214533,4872113,4872113,27,"00002 CHURCH ST SOUTH, New Haven, CT","Match","Exact","2 CHURCH ST S, NEW HAVEN, CT, 06519","-72.92843,41.29627",604740963,"L",9,9,140300,2038,"09009140300"
"28","244 0332 00601","PABX","00002 HILLHOUSE AV","YALE UNIVERSITY",NA,"9091/251",0.36,209440,1586060,1795500,1795500,28,"00002 HILLHOUSE AV, New Haven, CT","Match","Exact","2 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92443,41.31142",639745882,"L",9,9,361402,1012,"09009361402"
"29","223 0334 00450","PABX","00002 WHITNEY AV 1A","YALE UNIVERSITY",NA,"0/0",0,0,265440,265440,265440,29,"00002 WHITNEY AV 1A, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"30","223 0334 00461","PABX","00002 WHITNEY AV 2","YALE UNIVERSITY",NA,"0/0",0,0,1399860,1399860,1399860,30,"00002 WHITNEY AV 2, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"31","223 0334 00463","PABX","00002 WHITNEY AV 3","YALE UNIVERSITY",NA,"0/0",0,0,1572620,1572620,1572620,31,"00002 WHITNEY AV 3, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"32","223 0334 00464","PABX","00002 WHITNEY AV 4","YALE UNIVERSITY",NA,"0/0",0,70,1213940,1214010,1214010,32,"00002 WHITNEY AV 4, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"33","223 0334 00465","PABX","00002 WHITNEY AV 4","YALE UNIVERSITY",NA,"0/0",0,0,454790,454790,454790,33,"00002 WHITNEY AV 4, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"34","223 0334 00467","PABX","00002 WHITNEY AV 5","YALE UNIVERSITY",NA,"0/0",0,70,1424360,1424430,1424430,34,"00002 WHITNEY AV 5, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"35","223 0334 00469","PABX","00002 WHITNEY AV 6","YALE UNIVERSITY",NA,"0/0",0,70,1421490,1421560,1421560,35,"00002 WHITNEY AV 6, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"36","223 0334 00471","PABX","00002 WHITNEY AV 7","YALE UNIVERSTIY",NA,"0/0",0,70,1162140,1162210,1162210,36,"00002 WHITNEY AV 7, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"37","223 0334 00473","PABX","00002 WHITNEY AV 8","YALE UNIVERSITY",NA,"0/0",0,70,1171240,1171310,1171310,37,"00002 WHITNEY AV 8, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"38","223 0334 00474","PABX","00002 WHITNEY AV G","YALE UNIVERSITY",NA,"0/0",0,70,739620,739690,739690,38,"00002 WHITNEY AV G, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"39","223 0334 00475","PABX","00002 WHITNEY AV G","YALE UNIVERSITY",NA,"0/0",0,0,1206380,1206380,1206380,39,"00002 WHITNEY AV G, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"40","244 0333 00300","PABX","00009 HILLHOUSE AV","YALE UNIVERSITY",NA,"9091/251",0.44,857290,4945010,5802300,5802300,40,"00009 HILLHOUSE AV, New Haven, CT","Match","Exact","9 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92411,41.3122",639745882,"R",9,9,361402,1013,"09009361402"
"41","260 0307 00100","PABX","00009 TOWER PKWY","YALE UNIVERSITY",NA,"0/0",5.28,4147780,105893690,110041470,110041470,41,"00009 TOWER PKWY, New Haven, CT","Match","Exact","9 TOWER PKWY, NEW HAVEN, CT, 06511","-72.93182,41.31295",3701082,"R",9,9,361402,1008,"09009361402"
"42","264 0103 00800","PABX","00010 AMISTAD ST","YALE UNIVERSITY",NA,"8068/305",0.88,2320710,8433810,10754520,10754520,42,"00010 AMISTAD ST, New Haven, CT","Match","Exact","10 AMISTAD ST, NEW HAVEN, CT, 06519","-72.93256,41.300293",604740943,"L",9,9,140300,2024,"09009140300"
