"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"90","258 1294 00100","PABX","00070 SACHEM ST","YALE UNIVERSITY",NA,"9172/313",6.51,3451210,398439300,401890510,401890510,90,"00070 SACHEM ST, New Haven, CT","Match","Exact","70 SACHEM ST, NEW HAVEN, CT, 06511","-72.92206,41.315704",3701170,"L",9,9,361402,1002,"09009361402"
"91","281 0329 00600","PABX","00070 YORK SQUARE PL","YALE UNIVERSITY",NA,"0/0",6.37,7649110,53202170,60851280,60851280,91,"00070 YORK SQUARE PL, New Haven, CT","Match","Exact","70 YORK SQ, NEW HAVEN, CT, 06511","-72.9294,41.31414",637983901,"L",9,9,361402,1007,"09009361402"
"92","281 0329 00200","PABX","00074 ASHMUN ST","YALE UNIVERSITY",NA,"0/0",0.13,156100,17150,173250,173250,92,"00074 ASHMUN ST, New Haven, CT","Match","Exact","74 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928764,41.314766",3701098,"L",9,9,361402,1007,"09009361402"
"93","243 0289 00702","PABX","00074 WALL ST","YALE UNIVERSITY",NA,"0/0",0.05,232610,0,232610,232610,93,"00074 WALL ST, New Haven, CT","Match","Exact","74 WALL ST, NEW HAVEN, CT, 06511","-72.9242,41.309853",3701191,"L",9,9,361402,2007,"09009361402"
"94","243 0289 00701","PABX","00076 WALL ST","YALE UNIVERSITY",NA,"0/0",0.04,196840,0,196840,196840,94,"00076 WALL ST, New Haven, CT","Match","Exact","76 WALL ST, NEW HAVEN, CT, 06511","-72.924286,41.30989",3701191,"L",9,9,361402,2007,"09009361402"
"95","281 0329 00100","PABX","00078 ASHMUN ST","YALE UNIVERSITY",NA,"9424/179",0.05,21140,104440,125580,125580,95,"00078 ASHMUN ST, New Haven, CT","Match","Exact","78 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92878,41.314827",3701098,"L",9,9,361402,1007,"09009361402"
"96","243 0289 00700","PABX","00078 WALL ST","YALE UNIVERSITY",NA,"0/0",0.04,196840,0,196840,196840,96,"00078 WALL ST, New Haven, CT","Match","Exact","78 WALL ST, NEW HAVEN, CT, 06511","-72.92438,41.30993",3701191,"L",9,9,361402,2007,"09009361402"
"97","243 0289 00600","PABX","00080 WALL ST","YALE UNIVERSITY",NA,"0/0",0.14,543060,1522850,2065910,2065910,97,"00080 WALL ST, New Haven, CT","Match","Exact","80 WALL ST, NEW HAVEN, CT, 06511","-72.92461,41.310028",3701183,"L",9,9,361402,2006,"09009361402"
"98","243 0289 00401","PABX","00082 WALL ST","YALE UNIVERSITY",NA,"2368/748",0.15,215040,801570,1016610,1016610,98,"00082 WALL ST, New Haven, CT","Match","Exact","82 WALL ST, NEW HAVEN, CT, 06511","-72.92467,41.310055",3701183,"L",9,9,361402,2006,"09009361402"
"99","244 0365 01500","PABX","00085 TRUMBULL ST","YALE UNIVERSITY",NA,"0/0",0.19,194460,0,194460,194460,99,"00085 TRUMBULL ST, New Haven, CT","Match","Exact","85 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92369,41.313587",3701167,"R",9,9,361402,1003,"09009361402"
"100","243 0289 00301","PABX","00086 WALL ST","YALE UNIVERSITY",NA,"2446/205",0.07,158760,237510,396270,396270,100,"00086 WALL ST, New Haven, CT","Match","Exact","86 WALL ST, NEW HAVEN, CT, 06511","-72.9248,41.310112",3701183,"L",9,9,361402,2006,"09009361402"
"101","296 0328 02800","PABX","00087 GOFFE ST","YALE UNIVERSITY",NA,"7353/100",0.27,63490,178710,242200,242200,101,"00087 GOFFE ST, New Haven, CT","Match","Exact","87 GOFFE ST, NEW HAVEN, CT, 06511","-72.93407,41.314808",3700394,"R",9,9,141600,3010,"09009141600"
"102","244 0364 00900","PABX","00087 TRUMBULL ST","YALE UNIVERSITY",NA,"0/0",0.11,122570,427210,549780,549780,102,"00087 TRUMBULL ST, New Haven, CT","Match","Exact","87 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92386,41.313618",3701167,"R",9,9,361402,1003,"09009361402"
"103","244 0333 00600","PABX","00088 TRUMBULL ST","YALE UNIVERSITY",NA,"0/0",0.17,191310,11410,202720,202720,103,"00088 TRUMBULL ST, New Haven, CT","Match","Exact","88 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.922646,41.31332",3701172,"L",9,9,361402,1013,"09009361402"
"104","296 0328 02900","PABX","00089 GOFFE ST","YALE UNIVERSITY",NA,"8704/11",0.23,61460,26810,88270,88270,104,"00089 GOFFE ST, New Haven, CT","Match","Exact","89 GOFFE ST, NEW HAVEN, CT, 06511","-72.9341,41.31484",3700394,"R",9,9,141600,3010,"09009141600"
"105","244 0364 01000","PABX","00089 TRUMBULL ST","YALE UNIVERSITY",NA,"0/0",0.07,132160,2645090,2777250,2777250,105,"00089 TRUMBULL ST, New Haven, CT","Match","Exact","89 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.924034,41.313652",3701167,"R",9,9,361402,1003,"09009361402"
"106","243 0289 00201","PABX","00090 WALL ST","YALE UNIVERSITY",NA,"2368/748",0.04,112420,122710,235130,235130,106,"00090 WALL ST, New Haven, CT","Match","Exact","90 WALL ST, NEW HAVEN, CT, 06511","-72.92493,41.310165",3701183,"L",9,9,361402,2006,"09009361402"
"107","244 0364 00100","PABX","00091 TRUMBULL ST","YALE UNIVERSITY",NA,"0/0",0.2,156660,2575510,2732170,2732170,107,"00091 TRUMBULL ST, New Haven, CT","Match","Exact","91 TRUMBULL ST, NEW HAVEN, CT, 06511","-72.92421,41.313683",3701167,"R",9,9,361402,1003,"09009361402"
"108","281 0350 00300","PABX","00096 ASHMUN ST","YALE UNIVERSITY",NA,"9156/26",0.09,20860,0,20860,20860,108,"00096 ASHMUN ST, New Haven, CT","Match","Exact","96 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928856,41.315117",3701098,"L",9,9,361402,1007,"09009361402"
"109","281 0350 00200","PABX","00100 ASHMUN ST","YALE UNIVERSITY",NA,"9156/26",0.09,41930,175840,217770,217770,109,"00100 ASHMUN ST, New Haven, CT","Match","Exact","100 ASHMUN ST, NEW HAVEN, CT, 06511","-72.929,41.315685",3701089,"L",9,9,141600,4014,"09009141600"
"110","264 0103 00100","PABX","00100 CHURCH ST SOUTH","YALE UNIVERSITY",NA,"8312/302",4.64,2089360,6688640,8778000,8778000,110,"00100 CHURCH ST SOUTH, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"111","258 0353 01200","PABX","00101 ASHMUN ST","YALE UNIVERSITY",NA,"8709/7",1.1,710360,144786250,145496610,145496610,111,"00101 ASHMUN ST, New Haven, CT","Match","Exact","101 ASHMUN ST, NEW HAVEN, CT, 06511","-72.92903,41.315853",3701089,"R",9,9,141600,4012,"09009141600"
"112","264 0121 00403","PABX","00104 WASHINGTON AV","AMISTAD PARTNERS LLC",NA,"6655/94",2.09,51310,0,51310,51310,112,"00104 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"113","260 0309 00400","PABX","00109 WALL ST","YALE UNIVERSITY",NA,"0/0",0.66,759570,1883140,2642710,2642710,113,"00109 WALL ST, New Haven, CT","Match","Exact","109 WALL ST, NEW HAVEN, CT, 06511","-72.92678,41.310986",3701136,"R",9,9,361402,2002,"09009361402"
"114","260 0288 00101","PABX","00110 WALL ST","YALE UNIVERSITY",NA,"0/0",1.34,1052660,0,1052660,1052660,114,"00110 WALL ST, New Haven, CT","Match","Exact","110 WALL ST, NEW HAVEN, CT, 06511","-72.92556,41.310444",3701183,"L",9,9,361402,2006,"09009361402"
"115","223 0334 00100","PABX","00111 GROVE ST","YALE UNIVERSITY",NA,"0/0",0.47,862120,3141320,4003440,4003440,115,"00111 GROVE ST, New Haven, CT","Match","Exact","111 GROVE ST, NEW HAVEN, CT, 06510","-72.923195,41.310722",3701201,"R",9,9,142000,3008,"09009142000"
"116","260 0288 00104","PABX","00115 HIGH ST","YALE UNIVERSITY",NA,"5150/5",0.49,2352350,26753720,29106070,29106070,116,"00115 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"117","260 0287 00101","PABX","00120 HIGH ST","YALE UNIVERSITY",NA,"0/0",1.29,1013390,97970320,98983710,98983710,117,"00120 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"118","260 0288 00100","PABX","00121 HIGH ST","YALE UNIVERSITY",NA,"0/0",0.43,672980,15571080,16244060,16244060,118,"00121 HIGH ST, New Haven, CT","Match","Exact","121 HIGH ST, NEW HAVEN, CT, 06511","-72.92851,41.310455",3701135,"R",9,9,361402,2005,"09009361402"
"119","260 0309 00500","PABX","00121 WALL ST","YALE UNIVERSITY",NA,"0/0",0.77,799540,45535980,46335520,46335520,119,"00121 WALL ST, New Haven, CT","Match","Exact","121 WALL ST, NEW HAVEN, CT, 06511","-72.92757,41.311314",3701136,"R",9,9,361402,2002,"09009361402"
"120","241 0204 00100","PABX","00123 COLLEGE ST","W E 135 COLLEGE STREET LLC",NA,"9375/229",1.12,1099770,5263300,6363070,6363070,120,"00123 COLLEGE ST, New Haven, CT","Match","Exact","123 COLLEGE ST, NEW HAVEN, CT, 06510","-72.93067,41.304573",3701264,"R",9,9,140100,1022,"09009140100"
"121","244 0333 00100","PABX","00131 GROVE ST","YALE UNIVERSITY",NA,"0/0",0.5,872550,5627300,6499850,6499850,121,"00131 GROVE ST, New Haven, CT","Match","Exact","131 GROVE ST, NEW HAVEN, CT, 06511","-72.922806,41.310562",3701201,"R",9,9,142000,3008,"09009142000"
"122","278 0133 02900","PABX","00134 DAVENPORT AV","YALE UNIVERSITY",NA,"0/0",0.11,31780,162120,193900,193900,122,"00134 DAVENPORT AV, New Haven, CT","Match","Exact","134 DAVENPORT AVE, NEW HAVEN, CT, 06519","-72.93763,41.30276",3700528,"L",9,9,140600,2001,"09009140600"
"123","244 0364 00200","PABX","00135 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",1.72,1084160,9287740,10371900,10371900,123,"00135 PROSPECTST, New Haven, CT","Match","Exact","135 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92379,41.318176",618696080,"R",9,9,361402,1000,"09009361402"
"124","261 0231 00200","PABX","00139 YORK ST","YALE UNIVERSITY",NA,"0/0",0.09,501270,530600,1031870,1031870,124,"00139 YORK ST, New Haven, CT","Match","Exact","139 YORK ST, NEW HAVEN, CT, 06511","-72.93242,41.30734",3701124,"R",9,9,361401,1004,"09009361401"
"125","260 0308 00100","PABX","00140 HIGH ST","YALE UNIVERSITY",NA,"0/0",2.2,1728230,56792890,58521120,58521120,125,"00140 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"126","243 0289 01300","PABX","00143 ELM ST","YALE UNIVERSITY",NA,"0/0",0.22,582470,590800,1173270,1173270,126,"00143 ELM ST, New Haven, CT","Match","Exact","143 ELM ST, NEW HAVEN, CT, 06511","-72.92576,41.30891",3701185,"R",9,9,361402,2006,"09009361402"
"127","243 0289 01400","PABX","00149 ELM ST","YALE UNIVERSITY",NA,"0/0",0.28,608930,975310,1584240,1584240,127,"00149 ELM ST, New Haven, CT","Match","Exact","149 ELM ST, NEW HAVEN, CT, 06511","-72.92594,41.308983",3701185,"R",9,9,361402,2006,"09009361402"
"128","261 0231 00300","PABX","00149 YORK ST","YALE UNIVERSITY",NA,"0/0",0.6,739060,1672090,2411150,2411150,128,"00149 YORK ST, New Haven, CT","Match","Exact","149 YORK ST, NEW HAVEN, CT, 06511","-72.9323,41.307503",3701124,"R",9,9,361401,1004,"09009361401"
"129","249 0457 00200","PABX","00150 HIGHLAND ST","YALE UNIVERSITY",NA,"0/0",0.17,128100,352170,480270,480270,129,"00150 HIGHLAND ST, New Haven, CT","Match","Exact","150 HIGHLAND ST, NEW HAVEN, CT, 06511","-72.9206,41.328426",3699826,"L",9,9,141800,1016,"09009141800"
"130","257 0354 00100","PABX","00150 MUNSON ST","WE 150 MUNSON LLC",NA,"9156/329",1.75,985950,18984126,19970076,19970076,130,"00150 MUNSON ST, New Haven, CT","Match","Exact","150 MUNSON ST, NEW HAVEN, CT, 06511","-72.92905,41.32152",641101215,"L",9,9,141600,1001,"09009141600"
"131","377 1079 00120","PABX","00150 YALE AV","YALE UNIVERSITY",NA,"0/0",10.4,1495410,59995670,61491080,61491080,131,"00150 YALE AV, New Haven, CT","Match","Exact","150 YALE AVE, NEW HAVEN, CT, 06515","-72.95938,41.315155",3697716,"L",9,9,141000,2016,"09009141000"
"132","280 0230 01005","PABX","00150 YORK ST","YALE UNIVERSITY",NA,"5083/253",0.74,1106840,4714570,5821410,5821410,132,"00150 YORK ST, New Haven, CT","Match","Exact","150 YORK ST, NEW HAVEN, CT, 06511","-72.93207,41.30782",3701124,"L",9,9,361401,1005,"09009361401"
"133","277 0114 00100","PABX","00156 WASHINGTON AV","BETA 14 LLC",NA,"8404/297",0.04,36540,0,36540,36540,133,"00156 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"134","244 0365 00900","PABX","00158 WHITNEY AV","YALE UNIVERSITY",NA,"0/0",0.93,263830,10964590,11228420,11228420,134,"00158 WHITNEY AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"135","247 0395 01600","PABX","00160 SAINT RONAN ST","YALE UNIVERSITY",NA,"9088/262",0.53,144970,366310,511280,511280,135,"00160 SAINT RONAN ST, New Haven, CT","Match","Exact","160 SAINT RONAN ST, NEW HAVEN, CT, 06511","-72.92015,41.320656",3699984,"L",9,9,141800,2001,"09009141800"
"136","377 1079 00100","PABX","00165 CENTRAL AV","YALE UNIVERSITY",NA,"0/0",12.65,1818880,3489080,5307960,5307960,136,"00165 CENTRAL AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"137","243 0289 01600","PABX","00165 ELM ST","YALE UNIVERSITY",NA,"9115/158",0.99,851830,36460550,37312380,37312380,137,"00165 ELM ST, New Haven, CT","Match","Exact","165 ELM ST, NEW HAVEN, CT, 06511","-72.92643,41.309185",3701185,"R",9,9,361402,2006,"09009361402"
"138","245 0363 00100","PABX","00165 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",4.11,2590700,58180360,60771060,60771060,138,"00165 PROSPECTST, New Haven, CT","Match","Exact","165 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92373,41.31839",618696080,"R",9,9,361402,1000,"09009361402"
"139","244 0332 00100","PABX","00173 GROVE ST","YALE UNIVERSITY",NA,"0/0",0.59,1156330,14246050,15402380,15402380,139,"00173 GROVE ST, New Haven, CT","Match","Exact","173 GROVE ST, NEW HAVEN, CT, 06511","-72.92335,41.310787",3701201,"R",9,9,142000,3008,"09009142000"
"140","277 0114 02400","PABX","00174 WASHINGTON AV","BETA 14 LLC",NA,"8404/303",0.16,49980,0,49980,49980,140,"00174 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"141","222 0375 00201","PABX","00175 WHITNEY AV","YALE UNIVERSITY",NA,"0/0",4.4,3268230,114077880,117346110,117346110,141,"00175 WHITNEY AV, New Haven, CT","Match","Exact","175 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.91997,41.31734",637984016,"R",9,9,142000,3002,"09009142000"
"142","277 0114 02200","PABX","00180 WASHINGTON AV","BETA 14 LLC",NA,"8404/326",0.15,49420,0,49420,49420,142,"00180 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"143","245 0363 01200","PABX","00180 WHITNEY AV","YALE UNIVERSITY",NA,"0/0",6.19,4597810,51497460,56095270,56095270,143,"00180 WHITNEY AV, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"144","257 0354 00300","PABX","00182 WINCHESTER AV","YALE UNIVERSITY",NA,"8362/106",1.38,101640,0,101640,101640,144,"00182 WINCHESTER AV, New Haven, CT","Match","Exact","182 WINCHESTER AVE, NEW HAVEN, CT, 06511","-72.92731,41.318043",3701094,"L",9,9,141600,1001,"09009141600"
"145","280 0250 02500","PABX","00182 YORK ST","YALE UNIVERSITY",NA,"5150/1",0.42,666400,29390760,30057160,30057160,145,"00182 YORK ST, New Haven, CT","Match","Exact","182 YORK ST, NEW HAVEN, CT, 06511","-72.93143,41.308678",3701131,"L",9,9,361401,3007,"09009361401"
"146","263 0125 00800","PABX","00184 LIBERTY ST","YALE UNIVERSITY",NA,"3872/107",1.07,2338420,21833140,24171560,24171560,146,"00184 LIBERTY ST, New Haven, CT","Match","Exact","184 LIBERTY ST, NEW HAVEN, CT, 06519","-72.932655,41.301586",637860456,"L",9,9,140300,2020,"09009140300"
"147","264 0120 00800","PABX","00188 LAFAYETTE ST","YALE UNIVERSITY",NA,"9599/156",0.09,31080,0,31080,31080,147,"00188 LAFAYETTE ST, New Haven, CT","Match","Exact","188 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.93051,41.302105",3744443,"L",9,9,140300,2017,"09009140300"
"148","260 0288 00103","PABX","00189 ELM ST","YALE UNIVERSITY",NA,"0/0",1.62,1361500,67636030,68997530,68997530,148,"00189 ELM ST, New Haven, CT","Match","Exact","189 ELM ST, NEW HAVEN, CT, 06511","-72.927536,41.309643",638551938,"R",9,9,361402,2005,"09009361402"
"149","277 0114 02100","PABX","00192 WASHINGTON AV","BETA 14 LLC",NA,"8404/339",0.12,47320,0,47320,47320,149,"00192 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"150","280 0250 02400","PABX","00194 YORK ST","YALE UNIVERSITY",NA,"0/0",0.18,216790,0,216790,216790,150,"00194 YORK ST, New Haven, CT","Match","Exact","194 YORK ST, NEW HAVEN, CT, 06511","-72.93126,41.308914",3701131,"L",9,9,361401,3007,"09009361401"
"151","264 0120 00700","PABX","00196 LAFAYETTE ST","YALE UNIVERSITY",NA,"9599/156",0.05,24640,0,24640,24640,151,"00196 LAFAYETTE ST, New Haven, CT","Match","Exact","196 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.930534,41.30213",3744443,"L",9,9,140300,2017,"09009140300"
"152","261 0251 00101","PABX","00197 YORK ST","YALE UNIVERSITY",NA,"0/0",2.33,1830360,39045230,40875590,40875590,152,"00197 YORK ST, New Haven, CT","Match","Exact","197 YORK ST, NEW HAVEN, CT, 06511","-72.931694,41.308285",3701124,"R",9,9,361401,1004,"09009361401"
"153","447 1252 00301","PABX","00200 CONRAD DR","YALE UNIVERSITY",NA,"0/0",203.58,7638330,0,7638330,7638330,153,"00200 CONRAD DR, New Haven, CT","Match","Exact","200 CONRAD DR, NEW HAVEN, CT, 06515","-72.98084,41.32013",3697243,"L",9,9,141100,1009,"09009141100"
"154","261 0252 00301","PABX","00200 ELM ST","YALE UNIVERSITY",NA,"0/0",0.29,612010,8685180,9297190,9297190,154,"00200 ELM ST, New Haven, CT","Match","Exact","200 ELM ST, NEW HAVEN, CT, 06511","-72.928154,41.309883",638551938,"L",9,9,361401,1002,"09009361401"
"155","246 0362 00102","PABX","00200 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",8.56,2161460,23087190,25248650,25248650,155,"00200 PROSPECTST, New Haven, CT","Match","Exact","200 PROSPECT ST, NEW HAVEN, CT, 06511","-72.924324,41.31627",618696079,"L",9,9,361402,1001,"09009361402"
"156","280 0250 02300","PABX","00200 YORK ST","YALE UNIVERSITY",NA,"5212/200",0.11,196840,26833240,27030080,27030080,156,"00200 YORK ST, New Haven, CT","Match","Exact","200 YORK ST, NEW HAVEN, CT, 06511","-72.931175,41.309032",3701131,"L",9,9,361401,3007,"09009361401"
"157","261 0251 00200","PABX","00201 YORK ST","YALE UNIVERSITY",NA,"0/0",3.48,2733780,61056380,63790160,63790160,157,"00201 YORK ST, New Haven, CT","Match","Exact","201 YORK ST, NEW HAVEN, CT, 06511","-72.931465,41.308594",3701131,"R",9,9,361401,1003,"09009361401"
"158","280 0250 02210","PABX","00202 YORK ST","YALE UNIVERSITY",NA,"0/0",0.07,186410,465850,652260,652260,158,"00202 YORK ST, New Haven, CT","Match","Exact","202 YORK ST, NEW HAVEN, CT, 06511","-72.931145,41.30907",3701131,"L",9,9,361401,3007,"09009361401"
"159","280 0250 00300","PABX","00205 PARK ST","YALE UNIVERSITY",NA,"0/0",0.13,134260,1190700,1324960,1324960,159,"00205 PARK ST, New Haven, CT","Match","Exact","205 PARK ST, NEW HAVEN, CT, 06511","-72.933464,41.30899",3701115,"R",9,9,361401,3007,"09009361401"
"160","280 0250 00301","PABX","00205 PARK ST","YALE UNIVERSITY",NA,"0/0",0,4130,0,4130,4130,160,"00205 PARK ST, New Haven, CT","Match","Exact","205 PARK ST, NEW HAVEN, CT, 06511","-72.933464,41.30899",3701115,"R",9,9,361401,3007,"09009361401"
"161","264 0120 00500","PABX","00206 LAFAYETTE ST","YALE UNIVERSITY",NA,"8314/77",0.23,34720,0,34720,34720,161,"00206 LAFAYETTE ST, New Haven, CT","Match","Exact","206 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.93056,41.302162",3744443,"L",9,9,140300,2017,"09009140300"
"162","277 0114 02000","PABX","00208 WASHINGTON AV","BETA 14 LLC",NA,"8404/335",0.12,46830,0,46830,46830,162,"00208 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"163","260 0287 00200","PABX","00209 ELM ST","YALE UNIVERSITY",NA,"0/0",1.22,958370,24442250,25400620,25400620,163,"00209 ELM ST, New Haven, CT","Match","Exact","209 ELM ST, NEW HAVEN, CT, 06511","-72.92885,41.31018",3701132,"R",9,9,361402,2004,"09009361402"
"164","280 0250 01900","PABX","00212 YORK ST","YALE UNIVERSITY",NA,"0/0",0.2,220640,975870,1196510,1196510,164,"00212 YORK ST, New Haven, CT","Match","Exact","212 YORK ST, NEW HAVEN, CT, 06511","-72.931,41.30927",3701131,"L",9,9,361401,3007,"09009361401"
"165","280 0250 00400","PABX","00213 PARK ST","YALE UNIVERSITY",NA,"0/0",0.29,170310,2426270,2596580,2596580,165,"00213 PARK ST, New Haven, CT","Match","Exact","213 PARK ST, NEW HAVEN, CT, 06511","-72.93337,41.309105",3701115,"R",9,9,361401,3007,"09009361401"
"166","261 0252 00300","PABX","00214 ELM ST","YALE UNIVERSITY",NA,"5150/1",1.33,1044820,15787310,16832130,16832130,166,"00214 ELM ST, New Haven, CT","Match","Exact","214 ELM ST, NEW HAVEN, CT, 06511","-72.92842,41.309998",638551938,"L",9,9,361401,1002,"09009361401"
"167","280 0250 02100","PABX","00215 PARK ST","YALE UNIVERSITY",NA,"0/0",0.21,159880,531720,691600,691600,167,"00215 PARK ST, New Haven, CT","Match","Exact","215 PARK ST, NEW HAVEN, CT, 06511","-72.93336,41.30913",3701115,"R",9,9,361401,3007,"09009361401"
"168","222 0370 00500","PABX","00215 WHITNEY AV","YALE UNIVERSITY",NA,"5419/6",0.53,671020,34090,705110,705110,168,"00215 WHITNEY AV, New Haven, CT","Match","Exact","215 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.919876,41.317524",637984016,"R",9,9,142000,3002,"09009142000"
"169","277 0114 01900","PABX","00216 WASHINGTON AV","BETA 14 LLC",NA,"8404/332",0.08,44030,0,44030,44030,169,"00216 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"170","280 0250 00500","PABX","00217 PARK ST","YALE UNIVERSITY",NA,"0/0",0.13,148890,522620,671510,671510,170,"00217 PARK ST, New Haven, CT","Match","Exact","217 PARK ST, NEW HAVEN, CT, 06511","-72.933334,41.309162",3701115,"R",9,9,361401,3007,"09009361401"
"171","277 0114 00601","PABX","00220 WASHINGTON AV","BETA 14 LLC",NA,"8405/1",0.03,24500,0,24500,24500,171,"00220 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"172","280 0250 01800","PABX","00220 YORK ST","YALE UNIVERSITY",NA,"0/0",0.23,224350,2859010,3083360,3083360,172,"00220 YORK ST, New Haven, CT","Match","Exact","220 YORK ST, NEW HAVEN, CT, 06511","-72.93089,41.309425",3701131,"L",9,9,361401,3007,"09009361401"
"173","222 0370 00600","PABX","00221 WHITNEY AV","YALE UNIVERSITY",NA,"5419/6",1,810810,6914950,7725760,7725760,173,"00221 WHITNEY AV, New Haven, CT","Match","Exact","221 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.91987,41.31755",637984016,"R",9,9,142000,3002,"09009142000"
"174","245 0363 00201","PABX","00223 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",2.96,1865780,75367110,77232890,77232890,174,"00223 PROSPECTST, New Haven, CT","Match","Exact","223 PROSPECT ST, NEW HAVEN, CT, 06511","-72.923615,41.318798",618696080,"R",9,9,361402,1000,"09009361402"
"175","277 0114 01800","PABX","00224 WASHINGTON AV","BETA 14 LLC",NA,"8404/343",0.09,44940,0,44940,44940,175,"00224 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"176","280 0250 01600","PABX","00224 YORK ST","YALE UNIVERSITY",NA,"0/0",0.57,363930,4422810,4786740,4786740,176,"00224 YORK ST, New Haven, CT","Match","Exact","224 YORK ST, NEW HAVEN, CT, 06511","-72.93083,41.309505",3701131,"L",9,9,361401,3007,"09009361401"
"177","280 0250 00600","PABX","00225 PARK ST","YALE UNIVERSITY",NA,"0/0",2.65,2081730,0,2081730,2081730,177,"00225 PARK ST, New Haven, CT","Match","Exact","225 PARK ST, NEW HAVEN, CT, 06511","-72.93324,41.309277",3701115,"R",9,9,361401,3007,"09009361401"
"178","277 0123 00700","PABX","00225 WASHINGTON AV","YALE UNIVERSITY",NA,"456/296",1.29,291060,82390,373450,373450,178,"00225 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"179","247 0394 00700","PABX","00227 MANSFIELD ST","YALE UNIVERSITY",NA,"0/0",1.3,160930,67830,228760,228760,179,"00227 MANSFIELD ST, New Haven, CT","Match","Exact","227 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.925735,41.322617",637984137,"R",9,9,141800,3004,"09009141800"
"180","277 0114 01700","PABX","00230 WASHINGTON AV","BETA 14 LLC",NA,"8404/329",0.09,45290,0,45290,45290,180,"00230 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"181","280 0250 01500","PABX","00232 YORK ST","YALE UNIVERSITY",NA,"0/0",0.23,281120,2310210,2591330,2591330,181,"00232 YORK ST, New Haven, CT","Match","Exact","232 YORK ST, NEW HAVEN, CT, 06511","-72.930725,41.30966",3701131,"L",9,9,361401,3007,"09009361401"
"182","243 0311 00401","PABX","00236 CHURCH ST","YALE UNIVERSITY",NA,"2820/31",0.18,568680,4233320,4802000,4802000,182,"00236 CHURCH ST, New Haven, CT","Match","Exact","236 CHURCH ST, NEW HAVEN, CT, 06510","-72.92296,41.309822",3701209,"L",9,9,361402,2000,"09009361402"
"183","277 0114 01600","PABX","00236 WASHINGTON AV","BETA 14 LLC",NA,"8404/323",0.11,46130,0,46130,46130,183,"00236 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"184","280 0250 00604","PABX","00240 YORK ST","YALE UNIVERSITY",NA,"0/0",0.89,827680,100978150,101805830,101805830,184,"00240 YORK ST, New Haven, CT","Match","Exact","240 YORK ST, NEW HAVEN, CT, 06511","-72.93061,41.30982",3701131,"L",9,9,361401,3007,"09009361401"
