addr.housenumber,addr.street,addr.city
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,Washington Ave.,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1,MacDonohugh Plaza,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1,Winchester Road,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
360,State Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
515,Saw Mill Road,West Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
295,Congress Avenue,New Haven
37-55,College Street,New Haven
315,Cedar Street,New Haven
NA,NA,NA
290,State Street,New Haven
70,Washington Avenue,New Haven
NA,NA,NA
184,Liberty Street,New Haven
301,Cedar Street,New Haven
790,Howard Avenue,New Haven
NA,NA,NA
NA,NA,NA
10,Amistad Street,New Haven
420,Temple Street,New Haven
65,Grove Street,New Haven
111,Cedar Street,NA
1,Long Wharf Drive,NA
259,Bull Hill Lane,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
46,Hillhouse Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
239,Whalley Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
205,Edison Road,NA
NA,NA,NA
NA,NA,NA
236,Boston Post Road,NA
NA,NA,NA
181,Marsh Hill Road,NA
222,Boston Post Road,NA
314,Indian River Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,Boston Post Road,Orange
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
170,Boston Post Road,Orange
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
89,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
121,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
130,Boston Post Road,NA
174,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
150,Boston Post Road,NA
NA,NA,NA
115,Boston Post Road,NA
82,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
131,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
145,Boston Post Road,NA
NA,NA,NA
140,Boston Post Road,NA
164,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
205,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
125,Boston Post Road,NA
111,Boston Post Road,NA
NA,NA,NA
196,Boston Post Road,NA
175,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
199,Boston Post Road,Milford
NA,NA,NA
NA,NA,NA
109,Boston Post Road,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
235,Bishop Street,NA
NA,NA,NA
303,Whitney Avenue,NA
225,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
215,Bishop Street,NA
207,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
165,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
195,Bishop Street,NA
NA,NA,NA
169,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
191,Bishop Street,NA
NA,NA,NA
NA,NA,NA
229,Bishop Street,NA
219,Bishop Street,NA
NA,NA,NA
NA,NA,NA
201,Bishop Street,NA
NA,NA,NA
175,Bishop Street,NA
NA,NA,NA
183,Bishop Street,NA
NA,NA,NA
192,Bishop Street,NA
NA,NA,NA
178,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
271,Whitney Avenue,NA
NA,NA,NA
216,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
162,Bishop Street,NA
NA,NA,NA
NA,NA,NA
222,Bishop Street,NA
291,Whitney Avenue,NA
NA,NA,NA
285,Whitney Avenue,NA
NA,NA,NA
188,Bishop Street,NA
172,Bishop Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
204,Bishop Street,NA
NA,NA,NA
NA,NA,NA
221R,Whitney Avenue,New Haven
NA,NA,NA
255,Whitney Avenue,NA
193,Whitney Avenue,NA
NA,NA,NA
245,Whitney Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
199,Whitney Avenue,NA
205,Whitney Avenue,NA
NA,NA,NA
NA,NA,NA
221,Whitney Avenue,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
548,Orange Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
558,Orange Street,NA
31,Lincoln Street,NA
NA,NA,NA
43,Lincoln Street,NA
59,Lincoln Street,NA
NA,Orange Street,NA
NA,NA,NA
NA,NA,NA
45,Lincoln Street,NA
484,Orange Street,NA
37,Lincoln Street,NA
51,Lincoln Street,NA
478,Orange Street,NA
NA,NA,NA
NA,NA,NA
27,Lincoln Street,NA
219,Bradley Street,NA
223,Bradley Street,NA
472,Orange Street,NA
500,Orange Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
60,Lincoln Street,NA
261,Bradley Street,NA
NA,NA,NA
40,Lincoln Street,NA
135,Whitney Avenue,NA
22,Lincoln Street,NA
239,Bradley Street,NA
265,Bradley Street,NA
30,Lincoln Street,NA
NA,NA,NA
245,Bradley Street,NA
NA,NA,NA
40,Lincoln Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
36,Lincoln Street,NA
54,Lincoln Street,NA
NA,NA,NA
255,Bradley Street,NA
NA,NA,NA
78,Trumbull Street,NA
129,Whitney Avenue,NA
NA,NA,NA
121,Whitney Avenue,New Haven
NA,NA,NA
NA,NA,NA
43,Trumbull Street,NA
442,Orange Street,NA
37-39,Trumbull Street,NA
436,Orange Street,NA
45,Trumbull Street,NA
15,Lincoln Street,NA
NA,NA,NA
41,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
135,Prospect St,NA
55,Hillhouse Avenue,New Haven
51,Hillhouse Avenue,NA
43,Hillhouse Avenue,NA
52,Hillhouse Avenue,NA
56,Hillhouse Avenue,NA
NA,NA,NA
55,Trumbull Street,NA
NA,NA,NA
12,Lincoln Street,NA
NA,NA,NA
14,Lincoln Street,NA
240,Bradley Street,NA
248,Bradley Street,NA
51,Trumbull Street,NA
65,Trumbull Street,NA
47,Trumbull Street,NA
232,Bradley Street,NA
10,Lincoln Street,NA
67,Trumbull Street,NA
262,Bradley Street,NA
NA,NA,NA
16,Lincoln Street,NA
NA,NA,NA
NA,NA,NA
254,Bradley Street,NA
18,Lincoln Street,NA
NA,NA,NA
266,Bradley Street,NA
433,Temple Street,NA
405,Temple Street,NA
NA,NA,NA
NA,NA,NA
421,Temple Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
54,Trumbull Street,NA
50,Trumbull Street,NA
52,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
64,High Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
444,College Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
306,York Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
115,Tower Parkway,NA
NA,NA,NA
1,Main Street,West Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
361,Elm Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
304,Elm Street,New Haven
294,Elm Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
600,State Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
250,Church Street,New Haven
NA,NA,NA
493,College Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
149,Elm Street,New Haven
459,College Street,New Haven
155,Elm Street,NA
175,Elm Street,NA
320,Temple Street,New Haven
302,Temple Street,New Haven
NA,NA,NA
NA,NA,NA
451,College Street,New Haven
143,Elm Street,New Haven
469,College Street,NA
66,Wall Street,New Haven
435,College Street,New Haven
311,Temple Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
227,Church Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
22,Wall Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
254,Prospect Street,New Haven
276,Prospect Street,New Haven
NA,NA,NA
NA,NA,NA
812,Orange Street,New Haven
NA,NA,NA
NA,NA,NA
51,Prospect Street,NA
12,Hillhouse Avenue,New Haven
9,Hillhouse Avenue,New Haven
17,Hillhouse Avenue,New Haven
15,Prospect Street,New Haven
10,Hillhouse Avenue,New Haven
1,Prospect Street,New Haven
1,Hillhouse Avenue,New Haven
5,Hillhouse Avenue,New Haven
55,Prospect Street,New Haven
24,Hillhouse Avenue,New Haven
NA,NA,NA
101,Ashmun Street,New Haven
21,Sachem Street,New Haven
210,Whitney Avenue,New Haven
170,Whitney Avenue,New Haven
195,Prospect Street,NA
165,Prospect Street,New Haven
355,Prospect Street,New Haven
370,Prospect Street,New Haven
360,Prospect Street,New Haven
409,Prospect Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
760,Prospect Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
730,Prospect Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
700,Prospect Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
