GEOID,race,hs,college,pov,ins,mobi,estimate,race_prop,rent
09009194201,M,1,1,0,0,0.868421052631579,190,0.02457002457002457,1
09009194202,M,1,0.41379310344827586,0,0,0.030188679245283012,265,0.04903774981495189,0
09009341100,M,NaN,NaN,0,0,0,68,0.011069510011395084,NaN
09009343101,M,0.8970588235294118,0.16176470588235295,0,0,0.4157894736842105,240,0.03665241295051924,NaN
09009343102,M,NaN,NaN,0.1553398058252427,0,0.058252427184465994,103,0.026029820571139752,NaN
09009343200,M,1,1,0,0,0,209,0.03640480752482146,0.68
09009343300,M,1,0.7164179104477612,0,0,0.3563829787234043,188,0.026452793020965246,1
09009343400,M,1,1,0,0,0.08333333333333337,48,0.007247470934621773,0
09009344100,M,1,0,0.23931623931623933,0,0.1367521367521367,117,0.022461124976003072,0
09009344200,M,NaN,NaN,0,0,0,28,0.010046645138141371,NaN
09009345100,M,1,0,0,0,0,16,0.0021350413664264745,0
09009345201,M,0.5797101449275363,0,0,0.21634615384615385,0.3271028037383178,214,0.026699937616968185,0.5135135135135135
09009345202,M,1,0,0.23863636363636365,0,0.23376623376623373,88,0.01995917441596734,NaN
09009345300,M,0.8793969849246231,0.08542713567839195,0.0367965367965368,0.11688311688311688,0.4053452115812918,462,0.06892436222586901,0.8108108108108109
09009345400,M,1,0.40236686390532544,0.3472222222222222,0,0.02823179791976227,792,0.12054794520547946,0.7052631578947368
09009346101,M,1,0,0,0,0,30,0.004371903235208394,0
09009346102,M,1,0,0,0.41414141414141414,0.38383838383838387,99,0.015908725695002412,NaN
09009347100,M,1,0.8709677419354839,0,0,0.29670329670329665,91,0.015174253793563448,0.38095238095238093
09009347200,M,1,0.5714285714285714,0,0,0,106,0.02746825602487691,0
09009348111,M,1,0.5,0,0.14634146341463414,0.14634146341463417,41,0.015029325513196481,0
09009348122,M,1,0.22580645161290322,0,0,0.2790697674418605,86,0.020383977245792842,0
09009348123,M,1,0.4444444444444444,0,0,0,144,0.024197613846412367,0
09009348124,M,1,1,0,0,0,14,0.005368098159509203,NaN
09009348125,M,NaN,NaN,NaN,NaN,NaN,0,0,NaN
09009350100,M,0.29600000000000004,0,0.24786324786324787,0,0.19685039370078738,127,0.02858428989421562,0.8333333333333334
09009350200,M,0.4897959183673469,0,0.25555555555555554,0,0,90,0.0224159402241594,0.5510204081632653
09009350300,M,0.7391304347826086,0,0.08888888888888889,0.28888888888888886,0,90,0.04120879120879121,1
09009350400,M,0.7222222222222222,0.4444444444444444,0.6170212765957447,0,0.25531914893617025,94,0.030499675535366644,0.7222222222222222
09009350500,M,1,0,0.2153846153846154,0,0.1282051282051282,195,0.059469350411710885,0.6428571428571429
09009350800,M,0.8495575221238938,0.1415929203539823,0.6211180124223602,0,0.059171597633136064,169,0.025231412361899075,1
09009350900,M,1,0.45161290322580644,0.7973856209150327,0.06535947712418301,0,153,0.06171843485276321,0.19047619047619047
09009351000,M,1,0,0.12755102040816327,0.04591836734693878,0.19753086419753085,196,0.04379888268156425,1
09009351100,M,1,0.2647058823529412,0,0,0,257,0.06077086781745093,0.4444444444444444
09009351200,M,0.4117647058823529,0.27450980392156865,0.3624161073825503,0,0.03703703703703709,162,0.03145631067961165,0.631578947368421
09009351300,M,1,0.5307692307692308,0.2039355992844365,0.08586762075134168,0.6178217821782178,559,0.08832358982461684,0.7927927927927928
09009351400,M,1,0.17293233082706766,0.3620689655172414,0.21120689655172414,0.11637931034482762,232,0.042947056645686786,0
09009351500,M,1,0,0.6126373626373627,0.034666666666666665,0.030219780219780223,375,0.0621684350132626,0
09009351601,M,1,0,0.6310679611650486,0.1650485436893204,0,103,0.029837775202780997,1
09009351602,M,1,1,0,0,0,65,0.009041591320072333,1
09009351700,M,0.8541666666666666,0,0.11557788944723618,0,0.25698324022346364,199,0.059921710328214396,1
09009351800,M,1,0,0.05847953216374269,0,0,171,0.041656516443361755,0
09009351900,M,1,0.6363636363636364,0.05185185185185185,0,0.0903225806451613,155,0.05624092888243832,1
09009352000,M,1,0,0,0,0.8421052631578947,312,0.060735838037765236,0.8
09009352100,M,0.6666666666666667,0,0.25517241379310346,0.20689655172413793,0.1586206896551724,145,0.03102267864783911,0.8108108108108109
09009352200,M,1,0,0.32903225806451614,0,0.058064516129032295,155,0.046351674641148324,0.25
09009352300,M,1,0.42857142857142855,0.125,0.328125,0.046875,64,0.02081977878985036,0.1509433962264151
09009352400,M,1,0.21153846153846154,0,0.09565217391304348,0.13913043478260867,115,0.026279707495429617,0.7368421052631579
09009352500,M,1,0.2191780821917808,0,0,0,98,0.029002663509914175,0.7096774193548387
