Unique ID,Street address,City,State,ZIP
10137,84 HOWE ST,New Haven,CT,
10138,80 HOWE ST,New Haven,CT,
10139,9 HERVEY ST,New Haven,CT,
10140,70 HOWE ST,New Haven,CT,
10141,68 HOWE ST,New Haven,CT,
10142,1255 CHAPEL ST,New Haven,CT,
10143,135 EDGEWOOD AV,New Haven,CT,
10144,5 GARDEN ST,New Haven,CT,
10145,9 GARDEN ST,New Haven,CT,
10146,115 EDGEWOOD AV,New Haven,CT,
10147,17 HERVEY ST,New Haven,CT,
10148,486 ELM ST,New Haven,CT,
10149,480 ELM ST,New Haven,CT,
10150,474 ELM ST,New Haven,CT,
10151,470 ELM ST,New Haven,CT,
10152,466 ELM ST,New Haven,CT,
10153,462 ELM ST,New Haven,CT,
10154,458 ELM ST,New Haven,CT,
10155,454 ELM ST,New Haven,CT,
10156,450 ELM ST,New Haven,CT,
10157,446 ELM ST,New Haven,CT,
10158,25 HERVEY ST,New Haven,CT,
10159,440 ELM ST,New Haven,CT,
10160,438 ELM ST,New Haven,CT,
10161,434 ELM ST,New Haven,CT,
10162,424 ELM ST,New Haven,CT,
10163,244 DWIGHT ST,New Haven,CT,
10164,242 DWIGHT ST,New Haven,CT,
10165,236 DWIGHT ST,New Haven,CT,
10166,DWIGHT ST,New Haven,CT,
10167,232 DWIGHT ST,New Haven,CT,
10168,228 DWIGHT ST,New Haven,CT,
10169,29 HERVEY ST,New Haven,CT,
10170,226 DWIGHT ST,New Haven,CT,
10171,222 DWIGHT ST,New Haven,CT,
10172,216 DWIGHT ST,New Haven,CT,
10173,85 EDGEWOOD AV,New Haven,CT,
10174,91 EDGEWOOD AV,New Haven,CT,
10175,EDGEWOOD AV,New Haven,CT,
10176,133 EDGEWOOD AV,New Haven,CT,
10177,215 DWIGHT ST,New Haven,CT,
10178,217 DWIGHT ST,New Haven,CT,
10179,219 DWIGHT ST,New Haven,CT,
10180,35 HERVEY ST,New Haven,CT,
10181,223 DWIGHT ST,New Haven,CT,
10182,227 DWIGHT ST,New Haven,CT,
10183,229 DWIGHT ST,New Haven,CT,
10184,235 DWIGHT ST,New Haven,CT,
10185,239 DWIGHT ST,New Haven,CT,
10186,245 DWIGHT ST,New Haven,CT,
10187,416 ELM ST,New Haven,CT,
