Unique ID,Street address,City,State,ZIP
19999,859 WOODWARD AV,New Haven,CT,
20000,863 WOODWARD AV,New Haven,CT,
20001,867 WOODWARD AV,New Haven,CT,
20002,81 OAKLEY ST,New Haven,CT,
20003,107 ASHLAND PL,New Haven,CT,
20004,115 ASHLAND PL,New Haven,CT,
20005,ASHLAND PL,New Haven,CT,
20006,590 FORBES AV,New Haven,CT,
20007,67 OAKLEY ST,New Haven,CT,
20008,41 ELIZABETH ANN DR,New Haven,CT,
20009,77 OAKLEY ST,New Haven,CT,
20010,1245 TOWNSEND AV,New Haven,CT,
20011,15 IRVINGTON ST,New Haven,CT,
20012,17 IRVINGTON ST,New Haven,CT,
20013,23 IRVINGTON ST,New Haven,CT,
20014,29 IRVINGTON ST,New Haven,CT,
20015,35 IRVINGTON ST,New Haven,CT,
20016,39 IRVINGTON ST,New Haven,CT,
20017,45 IRVINGTON ST,New Haven,CT,
20018,49 IRVINGTON ST,New Haven,CT,
20019,35 ELIZABETH ANN DR,New Haven,CT,
20020,59 IRVINGTON ST,New Haven,CT,
20021,55 IRVINGTON ST,New Haven,CT,
20022,61 IRVINGTON ST,New Haven,CT,
20023,63 IRVINGTON ST,New Haven,CT,
20024,75 IRVINGTON ST,New Haven,CT,
20025,81 IRVINGTON ST,New Haven,CT,
20026,100 OAKLEY ST,New Haven,CT,
20027,98 OAKLEY ST,New Haven,CT,
20028,84 ASHLAND PL,New Haven,CT,
20029,76 ASHLAND PL,New Haven,CT,
20030,29 ELIZABETH ANN DR,New Haven,CT,
20031,72 ASHLAND PL,New Haven,CT,
20032,64 ASHLAND PL,New Haven,CT,
20033,60 ASHLAND PL,New Haven,CT,
20034,54 ASHLAND PL,New Haven,CT,
20035,50 ASHLAND PL,New Haven,CT,
20036,42 ASHLAND PL,New Haven,CT,
20037,36 ASHLAND PL,New Haven,CT,
20038,30 ASHLAND PL,New Haven,CT,
20039,24 ASHLAND PL,New Haven,CT,
20040,20 ASHLAND PL,New Haven,CT,
20041,21 ELIZABETH ANN DR,New Haven,CT,
20042,16 ASHLAND PL,New Haven,CT,
20043,1231 TOWNSEND AV,New Haven,CT,
20044,1235 TOWNSEND AV,New Haven,CT,
20045,1239 TOWNSEND AV,New Haven,CT,
20046,1241 TOWNSEND AV,New Haven,CT,
20047,105 OAKLEY ST,New Haven,CT,
20048,113 IRVINGTON ST,New Haven,CT,
20049,116 ASHLAND PL,New Haven,CT,
20050,91 OAKLEY ST,New Haven,CT,
20051,95 OAKLEY ST,New Haven,CT,
20052,15 ELIZABETH ANN DR,New Haven,CT,
20053,101 OAKLEY ST,New Haven,CT,
